dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,n_comp,dimension,n_levels,method_label
sim_indoor_v1,test_id,pca,128,128.0,0.0,0,0.0,2,0.7431648715824358,0.6480952352197017,3.9907679999942047,4.002705600009904,0.20938099987688474,0.21975080010179227,620,25200,b2d66d0,,30.0,,,pca
sim_indoor_v1,test_id,binary_hash,128,128.0,0.0,0,0.0,2,0.8641259320629661,0.792292318851233,0.4811429998881067,0.4900070998701267,0.3664259998004127,3.9876884999557656,20500,737280,b2d66d0,,,1024.0,,binary_hash_D1024
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,2,0.7299088649544325,0.6580900876489179,2.0103300000755553,2.0147166001379446,0.2572070000042004,0.26353849996212375,20500,217088,b2d66d0,,,1024.0,32.0,pure_hdc_D1024
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.0,2,0.7473073736536868,0.6436382849372578,0.27254500014350924,0.2766291999250825,0.3114570001798711,0.343470900088505,3620,0,b2d66d0,180.0,,,,quantized
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.0,2,0.7547638773819387,0.6430222945087841,8.053663000055167,8.09488390000297,0.2155999998194602,0.2312465001068631,2540,94320,b2d66d0,,126.0,,,pca
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,2,0.9221209610604806,0.8766804510670834,0.7256989999859798,0.7474061000266374,0.7721130000390986,0.828596100041068,81940,2949120,b2d66d0,,,4096.0,,binary_hash_D4096
sim_indoor_v1,test_id,pure_hdc,512,128.0,0.0,0,0.0,2,0.7299088649544325,0.6580900876489179,1.9813000001249748,1.9867719999638211,0.2717300001222611,0.28215919992362615,20500,217088,b2d66d0,,,1024.0,32.0,pure_hdc_D1024
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,2,0.7332228666114333,0.6651585878194195,6.063373999950272,6.172526899968034,0.7337970000662608,0.7539615000496269,81940,868352,b2d66d0,,,4096.0,32.0,pure_hdc_D4096
sim_indoor_v1,test_id,quantized,2048,188.0,0.0,0,0.0,2,0.7473073736536868,0.6436382849372578,0.2758240000275691,0.28160470008060656,0.3136120001272502,0.3498216998650605,3620,0,b2d66d0,180.0,,,,quantized
sim_indoor_v1,test_id,pca,2048,728.0,0.0,0,0.0,2,0.7489643744821872,0.6451009917684579,4.067780000013954,4.126954999992449,0.1951790000020992,0.21085879993734125,3620,133200,b2d66d0,,180.0,,,pca
sim_indoor_v1,test_id,binary_hash,2048,2048.0,0.0,0,0.0,2,0.9403479701739851,0.9017509929326735,3.6117839999860735,3.6470289001044875,2.789216000110173,2.7951803000632935,327700,11796480,b2d66d0,,,16384.0,,binary_hash_D16384
sim_indoor_v1,test_id,pure_hdc,2048,128.0,0.0,0,0.0,2,0.7299088649544325,0.6580900876489179,1.9792279999819584,2.016348500114873,0.2657600000475213,0.27651319990127377,20500,217088,b2d66d0,,,1024.0,32.0,pure_hdc_D1024
sim_indoor_v1,test_id,pure_hdc,2048,512.0,0.0,0,0.0,2,0.7332228666114333,0.6651585878194195,6.09327300003315,6.106496699953823,0.7666169999538397,0.7677545999968061,81940,868352,b2d66d0,,,4096.0,32.0,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,2048,1024.0,0.0,0,0.0,2,0.7315658657829329,0.6655127960577177,11.9027850000748,12.466576500037263,1.4941780000299332,1.5085707998650832,163860,1736704,b2d66d0,,,8192.0,32.0,pure_hdc_D8192
