dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,dimension,interleave,n_bursts,modulation,fading,coherence_symbols,empirical_ber,theory_ber,hdc_head,hybrid_mode,frontend,mix,method_label
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.05,0,0.0,1,0.9652029826014913,0.937793685387504,0.0,0.0,0.0,0.0,163880,868352,a46535d,4096,False,0,none,none,32,0.050029754638671875,0.05,linear,,,,pure_hdc_D4096+lin
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.1,0,0.0,1,0.9544324772162386,0.9219298982777477,0.0,0.0,0.0,0.0,163880,868352,a46535d,4096,False,0,none,none,32,0.10019302368164062,0.1,linear,,,,pure_hdc_D4096+lin
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.0,0,0.0,1,0.7771333885666943,0.6846546824783486,0.0,0.0,0.0,0.0,81940,1066516,a46535d,4096,False,0,none,none,32,0.0,,prototype,task/sector/prototype/none,sector,none,hybrid_hdc:task/sector/prototype/none
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.01,0,0.0,1,0.776304888152444,0.6828621990412582,0.0,0.0,0.0,0.0,81940,1066516,a46535d,4096,False,0,none,none,32,0.00989532470703125,0.01,prototype,task/sector/prototype/none,sector,none,hybrid_hdc:task/sector/prototype/none
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.05,0,0.0,1,0.7746478873239436,0.6815625888348842,0.0,0.0,0.0,0.0,81940,1066516,a46535d,4096,False,0,none,none,32,0.050029754638671875,0.05,prototype,task/sector/prototype/none,sector,none,hybrid_hdc:task/sector/prototype/none
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.1,0,0.0,1,0.7729908864954432,0.6792019162912686,0.0,0.0,0.0,0.0,81940,1066516,a46535d,4096,False,0,none,none,32,0.10019302368164062,0.1,prototype,task/sector/prototype/none,sector,none,hybrid_hdc:task/sector/prototype/none
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.0,0,0.0,1,0.7274233637116818,0.6183360370295856,0.0,0.0,0.0,0.0,81940,1142292,a46535d,4096,False,0,none,none,32,0.0,,prototype,task/scan/prototype/none,scan,none,hybrid_hdc:task/scan/prototype/none
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.01,0,0.0,1,0.7274233637116818,0.6184819426932786,0.0,0.0,0.0,0.0,81940,1142292,a46535d,4096,False,0,none,none,32,0.00989532470703125,0.01,prototype,task/scan/prototype/none,scan,none,hybrid_hdc:task/scan/prototype/none
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.05,0,0.0,1,0.728251864125932,0.6189692025952545,0.0,0.0,0.0,0.0,81940,1142292,a46535d,4096,False,0,none,none,32,0.050029754638671875,0.05,prototype,task/scan/prototype/none,scan,none,hybrid_hdc:task/scan/prototype/none
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.1,0,0.0,1,0.7265948632974316,0.615820755284057,0.0,0.0,0.0,0.0,81940,1142292,a46535d,4096,False,0,none,none,32,0.10019302368164062,0.1,prototype,task/scan/prototype/none,scan,none,hybrid_hdc:task/scan/prototype/none
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.0,0,0.0,1,0.9246064623032312,0.8778246028326592,0.0,0.0,0.0,0.0,163880,1142292,a46535d,4096,False,0,none,none,32,0.0,,linear,task/scan/linear/none,scan,none,hybrid_hdc:task/scan/linear/none
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.01,0,0.0,1,0.9262634631317316,0.8810203607361053,0.0,0.0,0.0,0.0,163880,1142292,a46535d,4096,False,0,none,none,32,0.00989532470703125,0.01,linear,task/scan/linear/none,scan,none,hybrid_hdc:task/scan/linear/none
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.05,0,0.0,1,0.923777961888981,0.8758513524970191,0.0,0.0,0.0,0.0,163880,1142292,a46535d,4096,False,0,none,none,32,0.050029754638671875,0.05,linear,task/scan/linear/none,scan,none,hybrid_hdc:task/scan/linear/none
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.1,0,0.0,1,0.923777961888981,0.8804966416620135,0.0,0.0,0.0,0.0,163880,1142292,a46535d,4096,False,0,none,none,32,0.10019302368164062,0.1,linear,task/scan/linear/none,scan,none,hybrid_hdc:task/scan/linear/none
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.0,0,0.0,1,0.7315658657829329,0.6318577480391159,0.0,0.0,0.0,0.0,81940,2010644,a46535d,4096,False,0,none,none,32,0.0,,prototype,task/scan/prototype/record,scan,record,hybrid_hdc:task/scan/prototype/record
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.01,0,0.0,1,0.7299088649544325,0.6306399268057864,0.0,0.0,0.0,0.0,81940,2010644,a46535d,4096,False,0,none,none,32,0.00989532470703125,0.01,prototype,task/scan/prototype/record,scan,record,hybrid_hdc:task/scan/prototype/record
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.05,0,0.0,1,0.7307373653686827,0.6321266536057868,0.0,0.0,0.0,0.0,81940,2010644,a46535d,4096,False,0,none,none,32,0.050029754638671875,0.05,prototype,task/scan/prototype/record,scan,record,hybrid_hdc:task/scan/prototype/record
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.1,0,0.0,1,0.7323943661971831,0.6358937897452673,0.0,0.0,0.0,0.0,81940,2010644,a46535d,4096,False,0,none,none,32,0.10019302368164062,0.1,prototype,task/scan/prototype/record,scan,record,hybrid_hdc:task/scan/prototype/record
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.0,0,0.0,1,0.9428334714167357,0.9036963489679438,0.0,0.0,0.0,0.0,163880,2010644,a46535d,4096,False,0,none,none,32,0.0,,linear,task/scan/linear/record,scan,record,hybrid_hdc:task/scan/linear/record
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.01,0,0.0,1,0.9444904722452361,0.9087597630888535,0.0,0.0,0.0,0.0,163880,2010644,a46535d,4096,False,0,none,none,32,0.00989532470703125,0.01,linear,task/scan/linear/record,scan,record,hybrid_hdc:task/scan/linear/record
