dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,n_comp,dimension,method_label
sim_indoor_v1,test_id,quantized,512,188.0,0.0,1024,0.0,3,0.20463960231980116,0.09229548398989293,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,1,,,quantized
sim_indoor_v1,test_id,quantized,512,188.0,0.0,1024,0.0,3,0.08533554266777134,0.07909393959866709,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,True,1,,,quantized+intl
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.0,3,0.7547638773819387,0.6430222945087841,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,0,126.0,,pca
sim_indoor_v1,test_id,pca,512,512.0,0.0,32,0.0,3,0.32145816072908034,0.2791365782717393,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,1,126.0,,pca
sim_indoor_v1,test_id,pca,512,512.0,0.0,32,0.0,3,0.3380281690140845,0.2968688749105339,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,True,1,126.0,,pca+intl
sim_indoor_v1,test_id,pca,512,512.0,0.0,128,0.0,3,0.22783761391880697,0.2087974658400012,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,1,126.0,,pca
sim_indoor_v1,test_id,pca,512,512.0,0.0,128,0.0,3,0.20049710024855014,0.19140306322570227,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,True,1,126.0,,pca+intl
sim_indoor_v1,test_id,pca,512,512.0,0.0,512,0.0,3,0.19138359569179786,0.1745197647255407,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,1,126.0,,pca
sim_indoor_v1,test_id,pca,512,512.0,0.0,512,0.0,3,0.15244407622203812,0.13721079336128053,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,True,1,126.0,,pca+intl
sim_indoor_v1,test_id,pca,512,512.0,0.0,1024,0.0,3,0.17729908864954433,0.1629545669614592,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,1,126.0,,pca
sim_indoor_v1,test_id,pca,512,512.0,0.0,1024,0.0,3,0.1491300745650373,0.12782185430632692,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,True,1,126.0,,pca+intl
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,3,0.9262634631317316,0.8858124707440689,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,False,0,,4096.0,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,32,0.0,3,0.9154929577464789,0.8667899605354329,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,False,1,,4096.0,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,32,0.0,3,0.9130074565037283,0.8632984577444265,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,True,1,,4096.0,binary_hash+intl
