dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,modulation,fading,coherence_symbols,empirical_ber,method_tag,sweep,dimension,hdc_head,n_centroids,method_label
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.0,1,0.7473073736536868,0.6436382849372578,0.0,0.0,0.0,0.0,3620,0,f288d40,180.0,False,0,none,none,32,0.0,quantized,k16_bandwidth,,,,quantized
sim_indoor_v1,test_ood,quantized,512,188.0,0.0,0,0.0,1,0.7531010041346722,0.609553790350909,0.0,0.0,0.0,0.0,3620,0,f288d40,180.0,False,0,none,none,32,0.0,quantized,k16_bandwidth,,,,quantized
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,1,0.9270919635459818,0.8840642692353267,0.0,0.0,0.0,0.0,81940,2949120,f288d40,,False,0,none,none,32,0.0,binary_hash,k16_bandwidth,4096.0,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.0,0,0.0,1,0.6243354991139988,0.5479476601387901,0.0,0.0,0.0,0.0,81940,2949120,f288d40,,False,0,none,none,32,0.0,binary_hash,k16_bandwidth,4096.0,,,binary_hash
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,1,0.7307373653686827,0.662479807302779,0.0,0.0,0.0,0.0,81940,868352,f288d40,,False,0,none,none,32,0.0,hdc_k1,k16_bandwidth,4096.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,1,0.6993502658003544,0.5944698092737204,0.0,0.0,0.0,0.0,81940,868352,f288d40,,False,0,none,none,32,0.0,hdc_k1,k16_bandwidth,4096.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,1,0.9635459817729909,0.9394999731976863,0.0,0.0,0.0,0.0,1311040,868352,f288d40,,False,0,none,none,32,0.0,hdc_k16,k16_bandwidth,4096.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,1,0.8535144713526285,0.7136985797367897,0.0,0.0,0.0,0.0,1311040,868352,f288d40,,False,0,none,none,32,0.0,hdc_k16,k16_bandwidth,4096.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,1,0.9726594863297432,0.9528257259389058,0.0,0.0,0.0,0.0,163880,868352,f288d40,,False,0,none,none,32,0.0,hdc_linear,k16_bandwidth,4096.0,linear,1.0,hdc_linear
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,1,0.8180744240992321,0.6618593166778514,0.0,0.0,0.0,0.0,163880,868352,f288d40,,False,0,none,none,32,0.0,hdc_linear,k16_bandwidth,4096.0,linear,1.0,hdc_linear
sim_indoor_v1,test_id,quantized,2048,188.0,0.0,0,0.0,1,0.7473073736536868,0.6436382849372578,0.0,0.0,0.0,0.0,3620,0,f288d40,180.0,False,0,none,none,32,0.0,quantized,k16_bandwidth,,,,quantized
sim_indoor_v1,test_ood,quantized,2048,188.0,0.0,0,0.0,1,0.7531010041346722,0.609553790350909,0.0,0.0,0.0,0.0,3620,0,f288d40,180.0,False,0,none,none,32,0.0,quantized,k16_bandwidth,,,,quantized
sim_indoor_v1,test_id,binary_hash,2048,2048.0,0.0,0,0.0,1,0.9403479701739851,0.9041781786257111,0.0,0.0,0.0,0.0,327700,11796480,f288d40,,False,0,none,none,32,0.0,binary_hash,k16_bandwidth,16384.0,,,binary_hash
