dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,modulation,fading,coherence_symbols,empirical_ber,invalid_mode,method_tag,sweep,dataset_name,label_source,theory_ber,dimension,hdc_head,n_centroids,method_label
lidardataframes_v1,test_ood,pure_hdc,128,128.0,0.05,0,0.0,1,0.8780487804878049,0.8784090909090909,0.0,0.0,0.0,0.0,16400,217088,2cb4d3c,,False,0,none,none,32,0.050750732421875,skip,hdc_k1,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.05,1024.0,prototype,1.0,hdc_k1
lidardataframes_v1,test_ood,pure_hdc,128,128.0,0.1,0,0.0,1,0.8658536585365854,0.8655982905982906,0.0,0.0,0.0,0.0,16400,217088,2cb4d3c,,False,0,none,none,32,0.1010284423828125,skip,hdc_k1,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.1,1024.0,prototype,1.0,hdc_k1
lidardataframes_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,1,0.9759036144578314,0.974937343358396,0.0,0.0,0.0,0.0,262400,217088,2cb4d3c,,False,0,none,none,32,0.0,skip,hdc_k16,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,,1024.0,prototype,16.0,hdc_k16
lidardataframes_v1,test_id,pure_hdc,128,128.0,0.05,0,0.0,1,0.9759036144578314,0.974937343358396,0.0,0.0,0.0,0.0,262400,217088,2cb4d3c,,False,0,none,none,32,0.050750732421875,skip,hdc_k16,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.05,1024.0,prototype,16.0,hdc_k16
lidardataframes_v1,test_id,pure_hdc,128,128.0,0.1,0,0.0,1,0.9879518072289156,0.9874921826141339,0.0,0.0,0.0,0.0,262400,217088,2cb4d3c,,False,0,none,none,32,0.1010284423828125,skip,hdc_k16,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.1,1024.0,prototype,16.0,hdc_k16
lidardataframes_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.0,1,0.975609756097561,0.9751889887319926,0.0,0.0,0.0,0.0,262400,217088,2cb4d3c,,False,0,none,none,32,0.0,skip,hdc_k16,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,,1024.0,prototype,16.0,hdc_k16
lidardataframes_v1,test_ood,pure_hdc,128,128.0,0.05,0,0.0,1,0.9512195121951219,0.9503146453089245,0.0,0.0,0.0,0.0,262400,217088,2cb4d3c,,False,0,none,none,32,0.050750732421875,skip,hdc_k16,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.05,1024.0,prototype,16.0,hdc_k16
lidardataframes_v1,test_ood,pure_hdc,128,128.0,0.1,0,0.0,1,0.9390243902439024,0.9377587694077056,0.0,0.0,0.0,0.0,262400,217088,2cb4d3c,,False,0,none,none,32,0.1010284423828125,skip,hdc_k16,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.1,1024.0,prototype,16.0,hdc_k16
lidardataframes_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,1,0.9759036144578314,0.974937343358396,0.0,0.0,0.0,0.0,32800,217088,2cb4d3c,,False,0,none,none,32,0.0,skip,hdc_linear,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,,1024.0,linear,1.0,hdc_linear
lidardataframes_v1,test_id,pure_hdc,128,128.0,0.05,0,0.0,1,0.9397590361445783,0.9388004895960832,0.0,0.0,0.0,0.0,32800,217088,2cb4d3c,,False,0,none,none,32,0.050750732421875,skip,hdc_linear,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.05,1024.0,linear,1.0,hdc_linear
