dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,modulation,fading,coherence_symbols,empirical_ber,invalid_mode,method_tag,sweep,dataset_name,ood_envs,theory_ber,dimension,hdc_head,n_centroids,method_label
semantic2d_v1,test_ood,pure_hdc,128,128.0,0.05,0,0.0,1,0.3546028580923895,0.27918641598236876,0.0,0.0,0.0,0.0,328000,217088,d6cb789,,False,0,none,none,32,0.050750732421875,skip,hdc_k16,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.05,1024.0,prototype,16.0,hdc_k16
semantic2d_v1,test_ood,pure_hdc,128,128.0,0.1,0,0.0,1,0.34363575938850116,0.27291452535747684,0.0,0.0,0.0,0.0,328000,217088,d6cb789,,False,0,none,none,32,0.1010284423828125,skip,hdc_k16,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.1,1024.0,prototype,16.0,hdc_k16
semantic2d_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,1,0.45584045584045585,0.4566967660131781,0.0,0.0,0.0,0.0,41000,217088,d6cb789,,False,0,none,none,32,0.0,skip,hdc_linear,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",,1024.0,linear,1.0,hdc_linear
semantic2d_v1,test_id,pure_hdc,128,128.0,0.05,0,0.0,1,0.38366571699905033,0.34295129277997105,0.0,0.0,0.0,0.0,41000,217088,d6cb789,,False,0,none,none,32,0.050750732421875,skip,hdc_linear,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.05,1024.0,linear,1.0,hdc_linear
semantic2d_v1,test_id,pure_hdc,128,128.0,0.1,0,0.0,1,0.37226970560303896,0.32053583025502314,0.0,0.0,0.0,0.0,41000,217088,d6cb789,,False,0,none,none,32,0.1010284423828125,skip,hdc_linear,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.1,1024.0,linear,1.0,hdc_linear
semantic2d_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.0,1,0.3153871718178797,0.275299107293015,0.0,0.0,0.0,0.0,41000,217088,d6cb789,,False,0,none,none,32,0.0,skip,hdc_linear,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",,1024.0,linear,1.0,hdc_linear
semantic2d_v1,test_ood,pure_hdc,128,128.0,0.05,0,0.0,1,0.30109670987038883,0.2616834368061638,0.0,0.0,0.0,0.0,41000,217088,d6cb789,,False,0,none,none,32,0.050750732421875,skip,hdc_linear,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.05,1024.0,linear,1.0,hdc_linear
semantic2d_v1,test_ood,pure_hdc,128,128.0,0.1,0,0.0,1,0.28281821203057494,0.2480046770052679,0.0,0.0,0.0,0.0,41000,217088,d6cb789,,False,0,none,none,32,0.1010284423828125,skip,hdc_linear,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.1,1024.0,linear,1.0,hdc_linear
semantic2d_v1,test_id,quantized,128,128.0,0.0,0,0.0,2,0.35517568850902187,0.32186954427821135,0.0,0.0,0.0,0.0,2420,0,d6cb789,120.0,False,0,none,none,32,0.0,fill,quantized,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",,,,,quantized
semantic2d_v1,test_id,quantized,128,128.0,0.05,0,0.0,2,0.2127255460588794,0.18810840399052667,0.0,0.0,0.0,0.0,2420,0,d6cb789,120.0,False,0,none,none,32,0.0500030517578125,fill,quantized,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.05,,,,quantized
semantic2d_v1,test_id,quantized,128,128.0,0.1,0,0.0,2,0.15004748338081672,0.13777680236427667,0.0,0.0,0.0,0.0,2420,0,d6cb789,120.0,False,0,none,none,32,0.1000518798828125,fill,quantized,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.1,,,,quantized
semantic2d_v1,test_ood,quantized,128,128.0,0.0,0,0.0,2,0.2529079428381522,0.24093928413030968,0.0,0.0,0.0,0.0,2420,0,d6cb789,120.0,False,0,none,none,32,0.0,fill,quantized,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",,,,,quantized
semantic2d_v1,test_ood,quantized,128,128.0,0.05,0,0.0,2,0.16550348953140578,0.15919699347128505,0.0,0.0,0.0,0.0,2420,0,d6cb789,120.0,False,0,none,none,32,0.0500030517578125,fill,quantized,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.05,,,,quantized
semantic2d_v1,test_ood,quantized,128,128.0,0.1,0,0.0,2,0.13791957460950482,0.134009142718157,0.0,0.0,0.0,0.0,2420,0,d6cb789,120.0,False,0,none,none,32,0.1000518798828125,fill,quantized,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.1,,,,quantized
semantic2d_v1,test_id,binary_hash,128,128.0,0.0,0,0.0,2,0.42165242165242167,0.35576935595912484,0.0,0.0,0.0,0.0,20500,737280,d6cb789,,False,0,none,none,32,0.0,fill,binary_hash,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",,1024.0,,,binary_hash
semantic2d_v1,test_id,binary_hash,128,128.0,0.05,0,0.0,2,0.34377967711301044,0.26230579259911246,0.0,0.0,0.0,0.0,20500,737280,d6cb789,,False,0,none,none,32,0.0500030517578125,fill,binary_hash,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.05,1024.0,,,binary_hash
semantic2d_v1,test_id,binary_hash,128,128.0,0.1,0,0.0,2,0.31054131054131057,0.24537171921274087,0.0,0.0,0.0,0.0,20500,737280,d6cb789,,False,0,none,none,32,0.1000518798828125,fill,binary_hash,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.1,1024.0,,,binary_hash
semantic2d_v1,test_ood,binary_hash,128,128.0,0.0,0,0.0,2,0.33798604187437686,0.27048295977076015,0.0,0.0,0.0,0.0,20500,737280,d6cb789,,False,0,none,none,32,0.0,fill,binary_hash,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",,1024.0,,,binary_hash
semantic2d_v1,test_ood,binary_hash,128,128.0,0.05,0,0.0,2,0.30176138251910933,0.2401561706253935,0.0,0.0,0.0,0.0,20500,737280,d6cb789,,False,0,none,none,32,0.0500030517578125,fill,binary_hash,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.05,1024.0,,,binary_hash
semantic2d_v1,test_ood,binary_hash,128,128.0,0.1,0,0.0,2,0.2874709205716185,0.22939102004230164,0.0,0.0,0.0,0.0,20500,737280,d6cb789,,False,0,none,none,32,0.1000518798828125,fill,binary_hash,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.1,1024.0,,,binary_hash
semantic2d_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,2,0.34377967711301044,0.3031341223418756,0.0,0.0,0.0,0.0,20500,217088,d6cb789,,False,0,none,none,32,0.0,skip,hdc_k1,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",,1024.0,prototype,1.0,hdc_k1
semantic2d_v1,test_id,pure_hdc,128,128.0,0.05,0,0.0,2,0.33238366571699907,0.28452673861583105,0.0,0.0,0.0,0.0,20500,217088,d6cb789,,False,0,none,none,32,0.0500030517578125,skip,hdc_k1,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.05,1024.0,prototype,1.0,hdc_k1
semantic2d_v1,test_id,pure_hdc,128,128.0,0.1,0,0.0,2,0.33998100664767333,0.2905170520318644,0.0,0.0,0.0,0.0,20500,217088,d6cb789,,False,0,none,none,32,0.1000518798828125,skip,hdc_k1,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.1,1024.0,prototype,1.0,hdc_k1
