dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,modulation,fading,coherence_symbols,empirical_ber,n_comp,dimension,method_label
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.0,2,0.7473073736536868,0.6436382849372578,0.0,0.0,0.0,0.0,3620,0,7383700,180.0,False,0,none,none,32,0.0,,,quantized
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.1,2,0.6611433305716653,0.5678095813925246,0.0,0.0,0.0,0.0,3620,0,7383700,180.0,False,0,none,none,32,0.05284865359042552,,,quantized
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.1,2,0.5252692626346314,0.47725926120346907,0.0,0.0,0.0,0.0,3620,0,7383700,180.0,True,0,none,none,32,0.052069481382978726,,,quantized+intl
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.2,2,0.584092792046396,0.5070936779141335,0.0,0.0,0.0,0.0,3620,0,7383700,180.0,False,0,none,none,32,0.0895528590425532,,,quantized
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.2,2,0.3736536868268434,0.36199899100061445,0.0,0.0,0.0,0.0,3620,0,7383700,180.0,True,0,none,none,32,0.0887425199468085,,,quantized+intl
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.4,2,0.415907207953604,0.3758884600526924,0.0,0.0,0.0,0.0,3620,0,7383700,180.0,False,0,none,none,32,0.17850315824468083,,,quantized
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.4,2,0.18972659486329743,0.18776483872498648,0.0,0.0,0.0,0.0,3620,0,7383700,180.0,True,0,none,none,32,0.18145362367021275,,,quantized+intl
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.0,2,0.7547638773819387,0.6430222945087841,0.0,0.0,0.0,0.0,2540,94320,7383700,,False,0,none,none,32,0.0,126.0,,pca
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.1,2,0.6727423363711682,0.5840107632317832,0.0,0.0,0.0,0.0,2540,94320,7383700,,False,0,none,none,32,0.056304931640625,126.0,,pca
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.1,2,0.6056338028169014,0.5188637920628789,0.0,0.0,0.0,0.0,2540,94320,7383700,,True,0,none,none,32,0.0567779541015625,126.0,,pca+intl
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.2,2,0.6304888152444076,0.5540472922238059,0.0,0.0,0.0,0.0,2540,94320,7383700,,False,0,none,none,32,0.10754013061523438,126.0,,pca
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.2,2,0.49627174813587405,0.4393224291869055,0.0,0.0,0.0,0.0,2540,94320,7383700,,True,0,none,none,32,0.10834503173828125,126.0,,pca+intl
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.4,2,0.5161557580778791,0.46499425065321864,0.0,0.0,0.0,0.0,2540,94320,7383700,,False,0,none,none,32,0.218597412109375,126.0,,pca
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.4,2,0.29246064623032314,0.2747972910124271,0.0,0.0,0.0,0.0,2540,94320,7383700,,True,0,none,none,32,0.21863555908203125,126.0,,pca+intl
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,2,0.9221209610604806,0.8766804510670834,0.0,0.0,0.0,0.0,81940,2949120,7383700,,False,0,none,none,32,0.0,,4096.0,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.1,2,0.8939519469759735,0.8518043565610439,0.0,0.0,0.0,0.0,81940,2949120,7383700,,False,0,none,none,32,0.054225921630859375,,4096.0,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.1,2,0.875724937862469,0.8199448714961324,0.0,0.0,0.0,0.0,81940,2949120,7383700,,True,0,none,none,32,0.053981781005859375,,4096.0,binary_hash+intl
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.2,2,0.8417564208782105,0.7818013590988842,0.0,0.0,0.0,0.0,81940,2949120,7383700,,False,0,none,none,32,0.10352325439453125,,4096.0,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.2,2,0.831814415907208,0.7747484758218984,0.0,0.0,0.0,0.0,81940,2949120,7383700,,True,0,none,none,32,0.10307693481445312,,4096.0,binary_hash+intl
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.4,2,0.7357083678541839,0.6502808302666752,0.0,0.0,0.0,0.0,81940,2949120,7383700,,False,0,none,none,32,0.20970916748046875,,4096.0,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.4,2,0.7663628831814416,0.68669397372581,0.0,0.0,0.0,0.0,81940,2949120,7383700,,True,0,none,none,32,0.2087860107421875,,4096.0,binary_hash+intl
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,2,0.7332228666114333,0.6651585878194195,0.0,0.0,0.0,0.0,81940,868352,7383700,,False,0,none,none,32,0.0,,4096.0,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.1,2,0.7307373653686827,0.661988581789069,0.0,0.0,0.0,0.0,81940,868352,7383700,,False,0,none,none,32,0.0564727783203125,,4096.0,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.1,2,0.7307373653686827,0.6590459544917461,0.0,0.0,0.0,0.0,81940,868352,7383700,,True,0,none,none,32,0.055789947509765625,,4096.0,pure_hdc_D4096+intl
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.2,2,0.7357083678541839,0.6642329644246827,0.0,0.0,0.0,0.0,81940,868352,7383700,,False,0,none,none,32,0.10710525512695312,,4096.0,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.2,2,0.7323943661971831,0.6604051253340718,0.0,0.0,0.0,0.0,81940,868352,7383700,,True,0,none,none,32,0.106170654296875,,4096.0,pure_hdc_D4096+intl
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.4,2,0.7406793703396851,0.6611044103656181,0.0,0.0,0.0,0.0,81940,868352,7383700,,False,0,none,none,32,0.21604156494140625,,4096.0,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.4,2,0.7406793703396851,0.6613606230659148,0.0,0.0,0.0,0.0,81940,868352,7383700,,True,0,none,none,32,0.2154998779296875,,4096.0,pure_hdc_D4096+intl
