dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,modulation,snr_db,fading,coherence_symbols,empirical_ber,theory_ber,channel_kind,method_tag,sweep,dimension,hdc_head,n_centroids,method_label
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,0,0.7191383595691798,0.6514078261723568,0.0,0.0,0.0,0.0,20500,217088,232e20a,,False,0,bpsk,8.0,rayleigh_block,32,0.033599853515625,0.03545906762783807,bpsk_rayleigh_block,hdc_k1,k16_radio,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,0,0.724109362054681,0.6552036846293712,0.0,0.0,0.0,0.0,20500,217088,232e20a,,False,0,bpsk,4.0,rayleigh_block,32,0.074371337890625,0.07713691605639106,bpsk_rayleigh_block,hdc_k1,k16_radio,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,0,0.7174813587406794,0.6467774561666271,0.0,0.0,0.0,0.0,20500,217088,232e20a,,False,0,bpsk,0.0,rayleigh_block,32,0.1430816650390625,0.1464466094067262,bpsk_rayleigh_block,hdc_k1,k16_radio,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,0,0.7091963545981773,0.6342099370293433,0.0,0.0,0.0,0.0,20500,217088,232e20a,,False,0,bpsk,-2.0,rayleigh_block,32,0.1863250732421875,0.18900836834134227,bpsk_rayleigh_block,hdc_k1,k16_radio,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.00019090777407599314,0,0.0,0,0.7257663628831814,0.6569256606072401,0.0,0.0,0.0,0.0,20500,217088,232e20a,,False,0,none,8.0,none,32,0.000152587890625,0.00019090777407599314,matched_ber,hdc_k1,k16_radio,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.01250081804073755,0,0.0,0,0.7257663628831814,0.6569422358221484,0.0,0.0,0.0,0.0,20500,217088,232e20a,,False,0,none,4.0,none,32,0.0121002197265625,0.01250081804073755,matched_ber,hdc_k1,k16_radio,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.07864960352514258,0,0.0,0,0.7265948632974316,0.6570549734916933,0.0,0.0,0.0,0.0,20500,217088,232e20a,,False,0,none,0.0,none,32,0.0784149169921875,0.07864960352514258,matched_ber,hdc_k1,k16_radio,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.13064448852282917,0,0.0,0,0.7216238608119304,0.6529075139704441,0.0,0.0,0.0,0.0,20500,217088,232e20a,,False,0,none,-2.0,none,32,0.130126953125,0.13064448852282917,matched_ber,hdc_k1,k16_radio,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.0,0,0.6922622563496751,0.5924808036033338,0.0,0.0,0.0,0.0,20500,217088,232e20a,,False,0,bpsk,8.0,none,32,0.000152587890625,0.00019090777407599314,bpsk_awgn,hdc_k1,k16_radio,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.0,0,0.6869462492616657,0.585713794621381,0.0,0.0,0.0,0.0,20500,217088,232e20a,,False,0,bpsk,4.0,none,32,0.0118255615234375,0.01250081804073755,bpsk_awgn,hdc_k1,k16_radio,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.0,0,0.6804489072652097,0.5827465975906579,0.0,0.0,0.0,0.0,20500,217088,232e20a,,False,0,bpsk,0.0,none,32,0.0771026611328125,0.07864960352514258,bpsk_awgn,hdc_k1,k16_radio,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.0,0,0.6727702303603071,0.5768552185272869,0.0,0.0,0.0,0.0,20500,217088,232e20a,,False,0,bpsk,-2.0,none,32,0.129364013671875,0.13064448852282917,bpsk_awgn,hdc_k1,k16_radio,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.0,0,0.6975782634376846,0.5954669002761646,0.0,0.0,0.0,0.0,20500,217088,232e20a,,False,0,bpsk,8.0,rayleigh_block,32,0.0352020263671875,0.03545906762783807,bpsk_rayleigh_block,hdc_k1,k16_radio,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.0,0,0.6881275841701122,0.5930122781503986,0.0,0.0,0.0,0.0,20500,217088,232e20a,,False,0,bpsk,4.0,rayleigh_block,32,0.0753021240234375,0.07713691605639106,bpsk_rayleigh_block,hdc_k1,k16_radio,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.0,0,0.6609568812758417,0.566275704081755,0.0,0.0,0.0,0.0,20500,217088,232e20a,,False,0,bpsk,0.0,rayleigh_block,32,0.1468658447265625,0.1464466094067262,bpsk_rayleigh_block,hdc_k1,k16_radio,1024.0,prototype,1.0,hdc_k1
