dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,sensor,method_tag,sweep,dimension,hdc_head,n_centroids,method_label
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.8177299088649544,0.7682103338691534,0.0,0.0,0.0,0.0,1311040,868352,f288d40,beam_drop:drop_rate=0.3,hdc_k16,k16_sensor,4096.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.7796188898094449,0.7005575202642034,0.0,0.0,0.0,0.0,1311040,868352,f288d40,sector_drop:fraction=0.15,hdc_k16,k16_sensor,4096.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.3951946975973488,0.32241720635962395,0.0,0.0,0.0,0.0,1311040,868352,f288d40,sector_drop:fraction=0.3,hdc_k16,k16_sensor,4096.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.951946975973488,0.9206812750770565,0.0,0.0,0.0,0.0,1311040,868352,f288d40,range_bias:bias=0.25,hdc_k16,k16_sensor,4096.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.9486329743164872,0.9192698351653659,0.0,0.0,0.0,0.0,1311040,868352,f288d40,range_scale:scale=1.15,hdc_k16,k16_sensor,4096.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.9544324772162386,0.9248235078859292,0.0,0.0,0.0,0.0,1311040,868352,f288d40,gauss:sigma=0.05,hdc_k16,k16_sensor,4096.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.9544324772162386,0.9262206160335553,0.0,0.0,0.0,0.0,1311040,868352,f288d40,gauss:sigma=0.15,hdc_k16,k16_sensor,4096.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.87986743993372,0.8477758003728683,0.0,0.0,0.0,0.0,1311040,868352,f288d40,clip:clip_to=6.0,hdc_k16,k16_sensor,4096.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.8476077968103958,0.7021949090745319,0.0,0.0,0.0,0.0,1311040,868352,f288d40,clean,hdc_k16,k16_sensor,4096.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.6975782634376846,0.5645582059569966,0.0,0.0,0.0,0.0,1311040,868352,f288d40,beam_drop:drop_rate=0.1,hdc_k16,k16_sensor,4096.0,prototype,16.0,hdc_k16
