dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,n_comp,dimension
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.01,3,0.7448218724109362,0.6421889846827741,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,0,,
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.05,3,0.7050538525269263,0.609468848990149,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,0,,
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.1,3,0.6429163214581607,0.5577950830134405,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,0,,
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.2,3,0.5708367854183927,0.4979515555130466,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,0,,
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.4,3,0.4117647058823529,0.3683486562784927,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,0,,
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.0,3,0.7547638773819387,0.6430222945087841,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,0,126.0,
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.01,3,0.7489643744821872,0.6388024745152571,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,0,126.0,
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.05,3,0.7166528583264291,0.6129707873542457,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,0,126.0,
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.1,3,0.6859983429991715,0.5850028493691266,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,0,126.0,
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.2,3,0.6255178127589064,0.5354144453010261,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,0,126.0,
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.4,3,0.5169842584921293,0.45441968305841396,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,0,126.0,
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,3,0.9262634631317316,0.8858124707440689,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.01,3,0.9229494614747308,0.8804298789185363,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.05,3,0.9072079536039768,0.8682219631698229,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.1,3,0.8773819386909694,0.8314405708455628,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.2,3,0.8285004142502072,0.7730694518239529,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.4,3,0.704225352112676,0.6251782208571692,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,3,0.7340513670256835,0.6677268864614062,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.01,3,0.7323943661971831,0.6663256602067187,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,False,0,,4096.0
