dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,sensor,dimension,hybrid_mode,method_label
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.7188422917897224,0.6103627442202654,0.0,0.0,0.0,0.0,81940,868352,51d3d02,gauss:sigma=0.05,4096.0,,pure_hdc_D4096
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.7152982870643827,0.6075262979372302,0.0,0.0,0.0,0.0,81940,868352,51d3d02,gauss:sigma=0.15,4096.0,,pure_hdc_D4096
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.622563496751329,0.5445380796131539,0.0,0.0,0.0,0.0,81940,868352,51d3d02,clip:clip_to=6.0,4096.0,,pure_hdc_D4096
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.0,0,0.0,0,0.7738193869096934,0.6781263166485685,0.0,0.0,0.0,0.0,81940,533268,51d3d02,clean,4096.0,task,hybrid_hdc:task
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.0,0,0.0,0,0.2104391052195526,0.18187912375071696,0.0,0.0,0.0,0.0,81940,533268,51d3d02,beam_drop:drop_rate=0.1,4096.0,task,hybrid_hdc:task
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.0,0,0.0,0,0.09610604805302403,0.03837447926286195,0.0,0.0,0.0,0.0,81940,533268,51d3d02,beam_drop:drop_rate=0.3,4096.0,task,hybrid_hdc:task
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.0,0,0.0,0,0.4507042253521127,0.33805726699639227,0.0,0.0,0.0,0.0,81940,533268,51d3d02,sector_drop:fraction=0.15,4096.0,task,hybrid_hdc:task
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.0,0,0.0,0,0.2634631317315659,0.114958882903584,0.0,0.0,0.0,0.0,81940,533268,51d3d02,sector_drop:fraction=0.3,4096.0,task,hybrid_hdc:task
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.0,0,0.0,0,0.7862468931234465,0.6907677311431868,0.0,0.0,0.0,0.0,81940,533268,51d3d02,range_bias:bias=0.25,4096.0,task,hybrid_hdc:task
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.0,0,0.0,0,0.7589063794531897,0.660461189215418,0.0,0.0,0.0,0.0,81940,533268,51d3d02,range_scale:scale=1.15,4096.0,task,hybrid_hdc:task
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.0,0,0.0,0,0.772162386081193,0.6795429694912152,0.0,0.0,0.0,0.0,81940,533268,51d3d02,gauss:sigma=0.05,4096.0,task,hybrid_hdc:task
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.0,0,0.0,0,0.7555923777961889,0.6709639354216459,0.0,0.0,0.0,0.0,81940,533268,51d3d02,gauss:sigma=0.15,4096.0,task,hybrid_hdc:task
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.0,0,0.0,0,0.6644573322286661,0.5832352420138365,0.0,0.0,0.0,0.0,81940,533268,51d3d02,clip:clip_to=6.0,4096.0,task,hybrid_hdc:task
sim_indoor_v1,test_ood,hybrid_hdc,512,512.0,0.0,0,0.0,0,0.7702303603071471,0.6608495248442929,0.0,0.0,0.0,0.0,81940,533268,51d3d02,clean,4096.0,task,hybrid_hdc:task
sim_indoor_v1,test_ood,hybrid_hdc,512,512.0,0.0,0,0.0,0,0.3414057885410514,0.23230648944648785,0.0,0.0,0.0,0.0,81940,533268,51d3d02,beam_drop:drop_rate=0.1,4096.0,task,hybrid_hdc:task
sim_indoor_v1,test_ood,hybrid_hdc,512,512.0,0.0,0,0.0,0,0.20141760189013586,0.12632454982816038,0.0,0.0,0.0,0.0,81940,533268,51d3d02,beam_drop:drop_rate=0.3,4096.0,task,hybrid_hdc:task
sim_indoor_v1,test_ood,hybrid_hdc,512,512.0,0.0,0,0.0,0,0.5274660366213821,0.3413585730824769,0.0,0.0,0.0,0.0,81940,533268,51d3d02,sector_drop:fraction=0.15,4096.0,task,hybrid_hdc:task
sim_indoor_v1,test_ood,hybrid_hdc,512,512.0,0.0,0,0.0,0,0.46131128174837566,0.19444476632450491,0.0,0.0,0.0,0.0,81940,533268,51d3d02,sector_drop:fraction=0.3,4096.0,task,hybrid_hdc:task
sim_indoor_v1,test_ood,hybrid_hdc,512,512.0,0.0,0,0.0,0,0.7052569403425871,0.5899018601776662,0.0,0.0,0.0,0.0,81940,533268,51d3d02,range_bias:bias=0.25,4096.0,task,hybrid_hdc:task
sim_indoor_v1,test_ood,hybrid_hdc,512,512.0,0.0,0,0.0,0,0.6438275251033668,0.5336191792196419,0.0,0.0,0.0,0.0,81940,533268,51d3d02,range_scale:scale=1.15,4096.0,task,hybrid_hdc:task
sim_indoor_v1,test_ood,hybrid_hdc,512,512.0,0.0,0,0.0,0,0.7696396928529238,0.6577999761908127,0.0,0.0,0.0,0.0,81940,533268,51d3d02,gauss:sigma=0.05,4096.0,task,hybrid_hdc:task
sim_indoor_v1,test_ood,hybrid_hdc,512,512.0,0.0,0,0.0,0,0.7720023626698169,0.6558818926479004,0.0,0.0,0.0,0.0,81940,533268,51d3d02,gauss:sigma=0.15,4096.0,task,hybrid_hdc:task
