dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,sensor,dimension,invalid_mode,invalid_storage,method_tag,sweep,hdc_head,n_centroids,method_label
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,2,0.9221209610604806,0.8766804510670834,0.0,0.0,0.0,0.0,81940,2949120,bbbaed8,clean,4096,fill,max_range,binary_hash,k16_sector_encode,,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,2,0.5086992543496272,0.44459655364460493,0.0,0.0,0.0,0.0,81940,2949120,bbbaed8,beam_drop:drop_rate=0.1,4096,fill,max_range,binary_hash,k16_sector_encode,,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,2,0.2444076222038111,0.23164300720015896,0.0,0.0,0.0,0.0,81940,2949120,bbbaed8,beam_drop:drop_rate=0.3,4096,fill,max_range,binary_hash,k16_sector_encode,,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,2,0.40347970173985087,0.34745390526380804,0.0,0.0,0.0,0.0,81940,2949120,bbbaed8,sector_drop:fraction=0.15,4096,fill,max_range,binary_hash,k16_sector_encode,,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,2,0.28251864125932064,0.23636345828406702,0.0,0.0,0.0,0.0,81940,2949120,bbbaed8,sector_drop:fraction=0.3,4096,fill,max_range,binary_hash,k16_sector_encode,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.0,0,0.0,2,0.6190194920259894,0.5345130262838498,0.0,0.0,0.0,0.0,81940,2949120,bbbaed8,clean,4096,fill,max_range,binary_hash,k16_sector_encode,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.0,0,0.0,2,0.43827525103366805,0.42599764236819126,0.0,0.0,0.0,0.0,81940,2949120,bbbaed8,beam_drop:drop_rate=0.1,4096,fill,max_range,binary_hash,k16_sector_encode,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.0,0,0.0,2,0.25930301240401654,0.26970168572059955,0.0,0.0,0.0,0.0,81940,2949120,bbbaed8,beam_drop:drop_rate=0.3,4096,fill,max_range,binary_hash,k16_sector_encode,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.0,0,0.0,2,0.37684583579444775,0.3447433782736703,0.0,0.0,0.0,0.0,81940,2949120,bbbaed8,sector_drop:fraction=0.15,4096,fill,max_range,binary_hash,k16_sector_encode,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.0,0,0.0,2,0.3118724158298878,0.27592262590132133,0.0,0.0,0.0,0.0,81940,2949120,bbbaed8,sector_drop:fraction=0.3,4096,fill,max_range,binary_hash,k16_sector_encode,,,binary_hash
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,2,0.9577464788732394,0.9284807045977127,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,clean,4096,fill,max_range,hdc_k16/fill,k16_sector_encode,prototype,16.0,hdc_k16/fill
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,2,0.932062966031483,0.8941268693168304,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,beam_drop:drop_rate=0.1,4096,fill,max_range,hdc_k16/fill,k16_sector_encode,prototype,16.0,hdc_k16/fill
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,2,0.7937033968516984,0.7115208109303128,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,beam_drop:drop_rate=0.3,4096,fill,max_range,hdc_k16/fill,k16_sector_encode,prototype,16.0,hdc_k16/fill
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,2,0.7953603976801988,0.7298365490382688,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,sector_drop:fraction=0.15,4096,fill,max_range,hdc_k16/fill,k16_sector_encode,prototype,16.0,hdc_k16/fill
