dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,dimension,interleave,n_bursts,n_centroids,modulation,fading,coherence_symbols,empirical_ber,theory_ber,hdc_head,method_label
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,1,0.9726594863297432,0.9528257259389058,0.0,0.0,0.0,0.0,163880,868352,5e92fce,4096,False,0,1,none,none,32,0.0,,linear,pure_hdc_D4096+lin
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.01,0,0.0,1,0.9743164871582436,0.9547347972252203,0.0,0.0,0.0,0.0,163880,868352,5e92fce,4096,False,0,1,none,none,32,0.00989532470703125,0.01,linear,pure_hdc_D4096+lin
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.05,0,0.0,1,0.9652029826014913,0.937793685387504,0.0,0.0,0.0,0.0,163880,868352,5e92fce,4096,False,0,1,none,none,32,0.050029754638671875,0.05,linear,pure_hdc_D4096+lin
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.1,0,0.0,1,0.9544324772162386,0.9219298982777477,0.0,0.0,0.0,0.0,163880,868352,5e92fce,4096,False,0,1,none,none,32,0.10019302368164062,0.1,linear,pure_hdc_D4096+lin
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,1,0.8180744240992321,0.6618593166778514,0.0,0.0,0.0,0.0,163880,868352,5e92fce,4096,False,0,1,none,none,32,0.0,,linear,pure_hdc_D4096+lin
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.01,0,0.0,1,0.8151210868281158,0.6604748017244132,0.0,0.0,0.0,0.0,163880,868352,5e92fce,4096,False,0,1,none,none,32,0.00989532470703125,0.01,linear,pure_hdc_D4096+lin
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.05,0,0.0,1,0.8074424099232133,0.6542232600334067,0.0,0.0,0.0,0.0,163880,868352,5e92fce,4096,False,0,1,none,none,32,0.050029754638671875,0.05,linear,pure_hdc_D4096+lin
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.1,0,0.0,1,0.796219728292971,0.6438524532591865,0.0,0.0,0.0,0.0,163880,868352,5e92fce,4096,False,0,1,none,none,32,0.10019302368164062,0.1,linear,pure_hdc_D4096+lin
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,2,0.9221209610604806,0.8766804510670834,0.0,0.0,0.0,0.0,81940,2949120,5e92fce,4096,False,0,1,none,none,32,0.0,,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.01,0,0.0,2,0.9154929577464789,0.8709984581765239,0.0,0.0,0.0,0.0,81940,2949120,5e92fce,4096,False,0,1,none,none,32,0.009738922119140625,0.01,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.05,0,0.0,2,0.875724937862469,0.821259547619636,0.0,0.0,0.0,0.0,81940,2949120,5e92fce,4096,False,0,1,none,none,32,0.049762725830078125,0.05,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.1,0,0.0,2,0.8376139188069595,0.7614697551533712,0.0,0.0,0.0,0.0,81940,2949120,5e92fce,4096,False,0,1,none,none,32,0.09943389892578125,0.1,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.0,0,0.0,2,0.6190194920259894,0.5345130262838498,0.0,0.0,0.0,0.0,81940,2949120,5e92fce,4096,False,0,1,none,none,32,0.0,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.01,0,0.0,2,0.6142941523922032,0.535394069029753,0.0,0.0,0.0,0.0,81940,2949120,5e92fce,4096,False,0,1,none,none,32,0.009738922119140625,0.01,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.05,0,0.0,2,0.6154754873006497,0.5488532175185618,0.0,0.0,0.0,0.0,81940,2949120,5e92fce,4096,False,0,1,none,none,32,0.049762725830078125,0.05,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.1,0,0.0,2,0.5953927938570585,0.5250963822671537,0.0,0.0,0.0,0.0,81940,2949120,5e92fce,4096,False,0,1,none,none,32,0.09943389892578125,0.1,,binary_hash
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,2,0.7332228666114333,0.6651585878194195,0.0,0.0,0.0,0.0,81940,868352,5e92fce,4096,False,0,1,none,none,32,0.0,,prototype,pure_hdc_D4096
