dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,modulation,fading,coherence_symbols,empirical_ber,method_tag,sweep,noise_kind,theory_ber,dimension,hdc_head,n_centroids,method_label
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,0,0.05,0,0.7315658657829329,0.6629419250691505,0.0,0.0,0.0,0.0,20500,217088,2dc1b09,,False,0,none,none,32,0.01776123046875,hdc_k1,k16_noise,plr,,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,0,0.1,0,0.7232808616404308,0.6530477670132988,0.0,0.0,0.0,0.0,20500,217088,2dc1b09,,False,0,none,none,32,0.03302001953125,hdc_k1,k16_noise,plr,,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,0,0.2,0,0.7108533554266777,0.6368519129360124,0.0,0.0,0.0,0.0,20500,217088,2dc1b09,,False,0,none,none,32,0.082305908203125,hdc_k1,k16_noise,plr,,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.0,0,0.6922622563496751,0.592395605939557,0.0,0.0,0.0,0.0,20500,217088,2dc1b09,,False,0,none,none,32,0.0,hdc_k1,k16_noise,ber,,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.01,0,0.0,0,0.689899586532782,0.588229678067514,0.0,0.0,0.0,0.0,20500,217088,2dc1b09,,False,0,none,none,32,0.0093841552734375,hdc_k1,k16_noise,ber,0.01,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.05,0,0.0,0,0.6857649143532192,0.5808557911742508,0.0,0.0,0.0,0.0,20500,217088,2dc1b09,,False,0,none,none,32,0.04931640625,hdc_k1,k16_noise,ber,0.05,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.1,0,0.0,0,0.6786769049025398,0.5757326343554747,0.0,0.0,0.0,0.0,20500,217088,2dc1b09,,False,0,none,none,32,0.0994720458984375,hdc_k1,k16_noise,ber,0.1,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.0,128,0.0,0,0.668044890726521,0.5678289618962268,0.0,0.0,0.0,0.0,20500,217088,2dc1b09,,False,1,none,none,32,0.125,hdc_k1,k16_noise,burst,,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.0,512,0.0,0,0.1600708800945068,0.11740588736810216,0.0,0.0,0.0,0.0,20500,217088,2dc1b09,,False,1,none,none,32,0.5,hdc_k1,k16_noise,burst,,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.05,0,0.6940342587123449,0.5954469557136798,0.0,0.0,0.0,0.0,20500,217088,2dc1b09,,False,0,none,none,32,0.0178375244140625,hdc_k1,k16_noise,plr,,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.1,0,0.6916715888954519,0.5918673413280625,0.0,0.0,0.0,0.0,20500,217088,2dc1b09,,False,0,none,none,32,0.0334930419921875,hdc_k1,k16_noise,plr,,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.2,0,0.6839929119905493,0.5870742952493007,0.0,0.0,0.0,0.0,20500,217088,2dc1b09,,False,0,none,none,32,0.082794189453125,hdc_k1,k16_noise,plr,,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,0,0.9544324772162386,0.9278985983135135,0.0,0.0,0.0,0.0,328000,217088,2dc1b09,,False,0,none,none,32,0.0,hdc_k16,k16_noise,ber,,1024.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.01,0,0.0,0,0.9552609776304888,0.9284426586600076,0.0,0.0,0.0,0.0,328000,217088,2dc1b09,,False,0,none,none,32,0.0093841552734375,hdc_k16,k16_noise,ber,0.01,1024.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.05,0,0.0,0,0.951946975973488,0.9221336885197073,0.0,0.0,0.0,0.0,328000,217088,2dc1b09,,False,0,none,none,32,0.04931640625,hdc_k16,k16_noise,ber,0.05,1024.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.1,0,0.0,0,0.951946975973488,0.9204700116253705,0.0,0.0,0.0,0.0,328000,217088,2dc1b09,,False,0,none,none,32,0.0994720458984375,hdc_k16,k16_noise,ber,0.1,1024.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,128,0.0,0,0.9527754763877382,0.9234375063674376,0.0,0.0,0.0,0.0,328000,217088,2dc1b09,,False,1,none,none,32,0.125,hdc_k16,k16_noise,burst,,1024.0,prototype,16.0,hdc_k16
